name,category,brand,strainType,priceRec,dispensary,productUrl,price,potency,quantity
Cigarette Style One Hitter,ACCESSORIES,,NOT_APPLICABLE,,brotherlybud,https://brotherlybud.com/product/cigarette-style-one-hitter/?retailer_id=14beadc1-5ad4-49df-b412-7fe5118669cc,2.0,,
Raw Classic Papers 1 1/4,ACCESSORIES,,NOT_APPLICABLE,,brotherlybud,https://brotherlybud.com/product/raw-classic-papers-1-1-4/?retailer_id=14beadc1-5ad4-49df-b412-7fe5118669cc,2.0,,
Stickers,APPAREL,,NOT_APPLICABLE,,brotherlybud,https://brotherlybud.com/product/stickers/?retailer_id=14beadc1-5ad4-49df-b412-7fe5118669cc,3.0,,
King Palm Mini Watermelon Wave 2pk,ACCESSORIES,,NOT_APPLICABLE,,brotherlybud,https://brotherlybud.com/product/king-palm-mini-watermelon-wave-2pk/?retailer_id=14beadc1-5ad4-49df-b412-7fe5118669cc,3.0,,2.0
King Palm Honey Orange Mini Rolls 2pk,ACCESSORIES,King Palm,NOT_APPLICABLE,,brotherlybud,https://brotherlybud.com/product/king-palm-honey-orange-mini-rolls-2pk/?retailer_id=14beadc1-5ad4-49df-b412-7fe5118669cc,3.0,,2.0
Blazy Susan Pink Cones 3pk (King Size),ACCESSORIES,,NOT_APPLICABLE,,brotherlybud,https://brotherlybud.com/product/blazy-susan-pink-cones-3pk-king-size/?retailer_id=14beadc1-5ad4-49df-b412-7fe5118669cc,3.0,,3.0
King Palm Mango OG 2pk,ACCESSORIES,,NOT_APPLICABLE,,brotherlybud,https://brotherlybud.com/product/king-palm-mango-og-2pk/?retailer_id=14beadc1-5ad4-49df-b412-7fe5118669cc,3.0,,2.0
King Palm Berry Terps 2pk,ACCESSORIES,,NOT_APPLICABLE,,brotherlybud,https://brotherlybud.com/product/king-palm-berry-terps-2pk/?retailer_id=14beadc1-5ad4-49df-b412-7fe5118669cc,3.0,,2.0
Lighter Leash,ACCESSORIES,,NOT_APPLICABLE,,brotherlybud,https://brotherlybud.com/product/lighter-leash/?retailer_id=14beadc1-5ad4-49df-b412-7fe5118669cc,3.0,,
ZZZ's King Sized Cones 3pk,ACCESSORIES,,NOT_APPLICABLE,,brotherlybud,https://brotherlybud.com/product/zzz-s-king-sized-cones-3pk/?retailer_id=14beadc1-5ad4-49df-b412-7fe5118669cc,3.0,,3.0
Vibes Hemp Pre Rolled Cones 1 1/4,ACCESSORIES,Vibes,NOT_APPLICABLE,,brotherlybud,https://brotherlybud.com/product/vibes-hemp-pre-rolled-cones-1-1-4/?retailer_id=14beadc1-5ad4-49df-b412-7fe5118669cc,3.0,,
RAW Classic Cone 1 1/4 6pk,ACCESSORIES,,NOT_APPLICABLE,,brotherlybud,https://brotherlybud.com/product/raw-classic-cone-1-1-4-6pk/?retailer_id=14beadc1-5ad4-49df-b412-7fe5118669cc,3.0,,4.0
Brotherly Bud Lighter,APPAREL,,NOT_APPLICABLE,,brotherlybud,https://brotherlybud.com/product/brotherly-bud-lighter/?retailer_id=14beadc1-5ad4-49df-b412-7fe5118669cc,3.0,,
Vibes Rice Pre Rolled Cones 1 1/4,ACCESSORIES,Vibes,NOT_APPLICABLE,,brotherlybud,https://brotherlybud.com/product/vibes-rice-pre-rolled-cones-1-1-4/?retailer_id=14beadc1-5ad4-49df-b412-7fe5118669cc,3.0,,
Raw Black Cones 1 1/4 3 pk,ACCESSORIES,,NOT_APPLICABLE,,brotherlybud,https://brotherlybud.com/product/raw-black-cones-1-1-4-3-pk/?retailer_id=14beadc1-5ad4-49df-b412-7fe5118669cc,3.0,,4.0
